coral_id,season,pumpkin_patch_nearby,nitrogen_content
A01,Spring,Yes,1.12
A02,Spring,Yes,1.09
A03,Spring,Yes,1.15
A04,Spring,No,0.95
A05,Spring,No,1.02
A06,Spring,No,1
A07,Summer,Yes,1.18
A08,Summer,Yes,1.22
A09,Summer,Yes,1.2
A10,Summer,No,1.01
A11,Summer,No,1.07
A12,Summer,No,1.05
A13,Fall,Yes,1.11
A14,Fall,Yes,1.16
A15,Fall,Yes,1.1
A16,Fall,No,0.97
A17,Fall,No,0.99
A18,Fall,No,0.94
A19,Winter,Yes,1.05
A20,Winter,Yes,1.01
A21,Winter,Yes,1.09
A22,Winter,No,0.91
A23,Winter,No,0.92
A24,Winter,No,0.94